                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95043,                0.53862,                 1.1392,                0.96689,                0.96209,                0.96999,                0.73039,                 1.2069,                0.51752,                 1.4124,             0.00015719,             0.00015719,             0.00015719
                      2,                0.96838,                0.55609,                 1.1471,                0.94135,                0.96239,                0.96283,                0.70014,                 1.2768,                0.53291,                  1.437,             0.00032759,             0.00032759,             0.00032759
                      3,                 0.9425,                0.53593,                 1.1289,                0.95499,                 0.9537,                0.96771,                0.69672,                  1.292,                 0.5499,                 1.4383,             0.00049685,             0.00049685,             0.00049685
                      4,                0.98013,                0.54978,                 1.1392,                0.93936,                0.94333,                0.96371,                0.69991,                 1.1759,                0.53973,                 1.4246,             0.00066498,             0.00066498,             0.00066498
                      5,                      1,                0.57243,                 1.1658,                0.95444,                0.93376,                 0.9588,                0.67369,                 1.1961,                0.54421,                 1.4671,             0.00083198,             0.00083198,             0.00083198
                      6,                0.95661,                0.54872,                 1.1442,                0.88056,                0.96731,                0.95869,                0.71193,                 1.1856,                0.57732,                 1.4451,             0.00099785,             0.00099785,             0.00099785
                      7,                0.95591,                0.54653,                 1.1431,                0.95363,                0.93519,                0.98034,                0.65979,                 1.1787,                0.58128,                 1.4057,              0.0011626,              0.0011626,              0.0011626
                      8,                0.99173,                0.56298,                 1.1574,                0.94277,                0.93519,                0.96614,                0.65869,                 1.2492,                0.60536,                 1.4646,              0.0013262,              0.0013262,              0.0013262
                      9,                 1.0062,                0.57872,                 1.1529,                0.89235,                 0.9525,                0.94355,                0.70657,                 1.2259,                0.58687,                   1.46,              0.0013913,              0.0013913,              0.0013913
                     10,                0.96971,                0.56672,                 1.1419,                0.93373,                0.96296,                0.96569,                0.66609,                 1.2209,                0.65957,                 1.4659,              0.0013866,              0.0013866,              0.0013866
                     11,                0.97037,                0.57181,                 1.1468,                  0.952,                0.94134,                0.95597,                0.60924,                 1.3821,                 0.6555,                 1.5699,              0.0013818,              0.0013818,              0.0013818
                     12,                0.98422,                0.57254,                 1.1659,                0.95038,                0.93519,                 0.9544,                 0.6707,                 1.3091,                0.59546,                 1.5627,              0.0013771,              0.0013771,              0.0013771
                     13,                0.99548,                0.57087,                 1.1661,                 0.9487,                0.94444,                0.96055,                0.70928,                 1.1395,                0.58353,                 1.4474,              0.0013724,              0.0013724,              0.0013724
                     14,                0.97383,                0.57589,                 1.1413,                0.94525,                0.93703,                0.96022,                 0.7139,                 1.2294,                0.58235,                 1.4892,              0.0013677,              0.0013677,              0.0013677
                     15,                0.95476,                0.54806,                 1.1419,                0.94867,                0.94444,                0.97092,                0.68082,                 1.2252,                0.64773,                 1.5078,               0.001363,               0.001363,               0.001363
                     16,                0.94522,                0.54017,                 1.1382,                0.95935,                0.96296,                0.96004,                0.66525,                 1.3522,                0.61016,                 1.5308,              0.0013583,              0.0013583,              0.0013583
                     17,                0.95252,                0.54663,                 1.1384,                0.95156,                0.96994,                0.96581,                0.69574,                 1.2187,                0.64474,                 1.5021,              0.0013535,              0.0013535,              0.0013535
                     18,                0.97188,                0.56827,                 1.1573,                0.95241,                0.97677,                0.98573,                0.67337,                 1.3371,                0.61713,                 1.4855,              0.0013488,              0.0013488,              0.0013488
                     19,                0.94998,                0.55601,                 1.1361,                0.95834,                0.96296,                0.97704,                0.68238,                 1.3214,                0.60828,                 1.5211,              0.0013441,              0.0013441,              0.0013441
                     20,                0.96121,                0.55037,                 1.1438,                0.90537,                0.97222,                 0.9777,                0.69774,                 1.2068,                0.54951,                 1.4971,              0.0013394,              0.0013394,              0.0013394
                     21,                0.92474,                0.53296,                 1.1392,                0.95787,                0.96106,                0.96881,                0.70957,                 1.1616,                0.53624,                 1.4425,              0.0013347,              0.0013347,              0.0013347
